dataset	n_cells	n_genes	pca_dim	neighbors	alpha	PFlog_optimum_pseudocount	CP10k_pseudocount	adjusted_rand_index	normalized_mutual_information	PFlog_optimum_n_clusters	CP10k_n_clusters	PFlog_optimum_cluster_sizes	CP10k_cluster_sizes
HLCA lung balanced subset	1120	3000	50	15	25.395708639352048	0.00984418287161364	0.3831917857142857	0.9189776893144517	0.9403018682417809	18	17	"{""0"": 151, ""1"": 136, ""10"": 47, ""11"": 43, ""12"": 41, ""13"": 29, ""14"": 29, ""15"": 27, ""16"": 26, ""17"": 24, ""2"": 81, ""3"": 77, ""4"": 74, ""5"": 73, ""6"": 70, ""7"": 67, ""8"": 67, ""9"": 58}"	"{""0"": 153, ""1"": 131, ""10"": 50, ""11"": 47, ""12"": 44, ""13"": 41, ""14"": 29, ""15"": 26, ""16"": 24, ""2"": 83, ""3"": 82, ""4"": 75, ""5"": 72, ""6"": 70, ""7"": 69, ""8"": 67, ""9"": 57}"
HLCA lung balanced subset	1120	3000	50	50	25.395708639352048	0.00984418287161364	0.3831917857142857	0.818671186813369	0.8872979809438413	14	13	"{""0"": 140, ""1"": 138, ""10"": 47, ""11"": 42, ""12"": 29, ""13"": 26, ""2"": 136, ""3"": 135, ""4"": 94, ""5"": 74, ""6"": 73, ""7"": 67, ""8"": 66, ""9"": 53}"	"{""0"": 163, ""1"": 139, ""10"": 68, ""11"": 67, ""12"": 49, ""2"": 134, ""3"": 75, ""4"": 72, ""5"": 72, ""6"": 71, ""7"": 71, ""8"": 71, ""9"": 68}"
