ds,ncells,ngenes,ngenes_filt,alpha,cv_all,cv_filt,stored
GSM3773111,79,335,335,0.57000,0.38556,0.38556,0.38556
GSM3773112,79,298,298,0.73000,0.39112,0.39112,0.39112
GSM3773114,62,264,264,0.61000,0.42227,0.42227,0.42227
GSM3773116,84,331,331,0.32000,0.38865,0.38865,0.38865
GSM3773117,71,323,323,0.63000,0.43664,0.43664,0.43664
GSM3773119,76,310,310,0.52000,0.33885,0.33885,0.33885
GSM3773121,30,208,208,0.43000,0.59341,0.59341,0.59341
GSM3773124,66,356,356,0.44378,0.41691,0.41691,0.41691
GSM3773125,83,367,367,0.64884,0.37381,0.37381,0.37381
GSM3954946,3505,18754,4395,2.11000,2.05547,1.65645,2.05547
GSM3954947,2158,19140,6316,31.86000,3.21575,2.70256,3.21575
GSM3954948,3151,18781,5044,29.69000,2.66525,2.29002,2.66525
GSM3954949,5630,21658,3967,19.60000,5.81459,4.44382,5.81459
GSM3954950,5289,15813,1937,24.28000,11.00259,7.03233,11.00259
GSM3954952,5523,22242,3958,7.21000,4.70505,3.31902,4.70505
GSM3954953,3125,21503,5717,34.84000,4.38699,3.48213,4.38699
GSM3954954,4409,23502,7857,21.58000,5.41377,4.14807,5.41377
GSM3954955,5101,23951,7565,11.09000,5.12586,3.99273,5.12586
GSM3954956,3839,22105,7462,1.04000,4.08036,3.28275,4.08036
GSM3954957,6377,22876,6157,6.46000,8.34298,5.93754,8.34298
GSM3954958,5067,23873,8749,1.31000,2.84245,2.27561,2.84244
GSM4037301,5535,23575,1671,3.77143,3.63548,3.14871,3.63548
GSM4037302,3994,22554,1743,1.81588,3.07197,2.60429,3.07197
GSM4037305,4801,21819,1762,1.00355,2.65301,1.98887,2.65301
GSM4037306,3158,17822,1703,1.70566,1.23765,0.62088,1.23765
GSM4037309,1998,19557,6606,3.07621,1.50710,1.23454,1.50710
GSM4037313,2305,19012,2215,1.69993,1.36220,1.03866,1.36220
GSM4037316,982,17951,4001,2.31369,0.87345,0.73966,0.87345
GSM4037324,11939,23995,5015,10.14000,3.52592,2.46884,3.52592
GSM4037325,4297,27696,10552,1.56000,3.13304,2.40044,3.13304
GSM4037981,857,21817,12406,2.93000,1.65829,1.56423,1.65829
GSM4037982,737,22238,13617,4.41000,1.74866,1.59858,1.74866
GSM4037984,53,4994,4994,3.09000,1.02215,1.02215,1.02215
GSM4037985,196,4422,2979,20.80203,1.37018,1.24635,1.37018
GSM4037986,74,3013,3013,10.78000,0.96686,0.96686,0.96686
GSM4037987,166,8977,6752,5.14000,1.06897,1.03018,1.06897
GSM4037988,321,8644,3992,11.53000,1.11650,0.84851,1.11650
GSM4037989,1914,7100,407,52.36000,1.85769,0.68239,1.85769
GSM4037990,2352,7976,453,134.17000,3.64145,2.07205,3.64145
GSM4037991,175,6363,5045,6.79000,1.18313,1.14230,1.18313
GSM4037992,162,5352,3862,5.90000,1.13572,1.07268,1.13572
GSM4037993,60,5590,5590,1.19212,0.75330,0.75330,0.75330
GSM4037994,77,7761,7761,4.23994,0.86909,0.86909,0.86909
GSM4080085,12351,28728,9772,2.59000,2.43119,1.78478,2.43119
GSM4080086,8983,29821,11411,1.72000,2.62049,2.08260,2.62049
GSM4080087,7041,27415,9405,2.32000,2.58796,2.09960,2.58796
GSM4080088,2515,25736,11554,1.55000,2.83897,2.58857,2.83897
GSM4080089,6471,26724,9035,3.76000,2.63906,2.10365,2.63906
GSM4080090,3826,27042,11587,1.64000,3.66164,3.17481,3.66164
GSM4142870,4943,23013,9040,0.69735,6.04847,4.78572,6.04847
GSM4142871,163,15742,13361,3.09000,1.09830,1.10541,1.09830
GSM4142872,2945,1615,216,0.89011,5.81947,2.93467,5.81947
GSM4142873,151,13770,11886,11.52000,1.13766,1.14329,1.13766
GSM4145204,17365,22413,2929,0.99000,12.33803,8.81395,12.33803
GSM4272895,121,2677,2184,1.52000,0.69557,0.69220,0.69557
GSM4272896,27,91,91,8.52000,0.58953,0.58953,0.58953
GSM4272897,36,3234,3234,5.78000,0.76261,0.76261,0.76261
GSM4272898,6538,23360,5134,0.77000,2.50812,1.99869,2.50812
GSM4272899,3725,23062,8126,0.99000,5.40366,4.42908,5.40366
GSM4272900,5819,23933,6513,0.86000,3.89801,3.01066,3.89801
GSM4272901,346,10300,3875,0.29000,0.57970,0.61266,0.57970
GSM4272902,127,11086,9666,0.58000,0.73051,0.75251,0.73051
GSM4339769,3750,24762,5197,2.38000,1.63187,1.36951,1.63187
GSM4463223,7310,15008,2097,1.00000,4.01896,2.48905,4.01896
GSM4463229,4457,23608,6330,3.82000,3.36063,2.84886,3.36063
GSM4463234,3783,23655,7140,3.46000,3.95655,3.28286,3.95655
GSM4463239,5312,22425,3526,1.31000,2.41470,1.78265,2.41470
GSM4463244,4618,25226,7454,2.62000,3.15678,2.64225,3.15678
GSM4463249,4780,24727,6306,1.29000,2.08384,1.67814,2.08384
GSM4463253,23013,28354,6213,0.54000,6.09141,4.13960,6.09141
GSM4475048,9653,24569,6764,0.77000,1.48299,0.97910,1.48299
GSM4475049,9290,22780,4898,0.75000,1.23063,0.66948,1.23063
GSM4475050,133,11807,10660,1.74000,0.58931,0.59389,0.58931
GSM4475051,2484,22367,4039,2.35000,1.67914,1.59013,1.67914
GSM4475052,2098,20677,3589,1.36000,1.56703,1.38832,1.56703
GSM4475053,6044,23077,1538,1.22000,2.36173,1.78926,2.36173
GSM4769387,2518,28875,15237,1.63000,4.90425,3.75677,4.90425
GSM4769388,1870,29083,16733,1.24000,4.67433,3.71638,4.67433
GSM4769389,2147,28728,15524,0.56000,3.47796,3.01514,3.47796
GSM5051494,87,11260,11260,10.37000,0.49410,0.49410,0.49410
GSM5051495,117,11241,10606,0.54000,0.47301,0.47857,0.47301
GSM5051497,116,12535,11872,1.21000,0.54085,0.54711,0.54085
GSM5051498,100,11799,11225,20.99000,0.56351,0.57303,0.56351
klein_2015,953,25025,22343,0.04000,0.19045,0.08153,0.19045
macosko_2015,84,69,69,0.05000,0.77882,0.77882,0.83990
padovan_merhar_2015,96,13211,13211,4.06000,1.05636,1.05636,1.05636
pbmc3k,2700,12572,4159,0.39318,1.87771,1.54278,1.87771
SAMN14275543,6814,20611,1651,3.81883,2.90937,2.26556,2.90937
SRX4733402,12650,23252,3240,3.05000,7.26790,4.91344,7.26790
SRX4733403,6670,16993,1730,1.17000,10.21536,6.57624,10.21536
SRX4733411,2031,24872,12528,0.55345,4.05232,3.29299,4.05232
svensson_2017_1,2000,13025,2633,0.09000,0.76160,0.07505,0.76160
svensson_2017_2,2000,13239,2619,0.37000,0.71940,0.14810,0.71940
zheng_2017,1015,87,69,0.04000,1.29912,1.06581,1.29912
