ds,ncells,ngenes,ngenes_filt,alpha,cv_all,cv_filt,stored
GSM2803967,266,13506,9327,0.26712,0.76516,0.79604,0.76516
GSM2877959,17075,22892,3349,5.98486,18.50134,12.19048,18.50134
GSM2877960,6277,20456,3794,6.43561,16.00570,10.97753,16.00570
GSM2894834,12728,28410,9061,2.80443,3.18868,2.33024,3.18867
GSM2894835,12259,31061,9463,2.59000,4.77985,3.53064,4.77985
GSM2905290,8319,26747,5580,5.29000,2.76574,2.24365,2.76574
GSM2905291,8296,32111,11987,0.79000,2.41009,1.89612,2.41009
GSM2905292,9939,23729,3476,8.70000,2.31648,1.64869,2.31648
GSM2905293,8509,32752,12293,1.24000,2.35153,1.83789,2.35153
GSM2928377,2893,33451,15809,0.29000,0.73426,0.39540,0.73426
GSM2928378,3462,33333,14463,0.32000,0.78907,0.43064,0.78907
GSM2928379,3494,29751,12344,0.41000,0.77110,0.35867,0.77110
GSM2928380,19962,33726,6662,17.24000,4.63913,3.20683,4.63913
GSM2928381,6280,35945,14743,12.50000,2.85120,2.30368,2.85120
GSM2928382,7899,37475,14864,18.49000,4.21334,3.43030,4.21334
GSM2928383,2212,32861,18064,1.90000,3.63600,2.80454,3.63600
GSM2928384,11360,35994,12307,20.87000,5.54516,4.31693,5.54515
GSM3020393,3017,21653,6132,0.17000,1.02494,0.70753,1.02494
GSM3052917,11420,35486,11758,20.75000,4.69420,3.63955,4.69420
GSM3052919,3800,31558,12513,8.39000,2.19400,1.80429,2.19399
GSM3052921,7247,31722,8315,10.71000,2.80295,2.14005,2.80295
GSM3073088,6799,26730,8818,0.94941,2.09450,1.76699,2.09450
GSM3073089,4552,26672,10493,0.49090,2.55866,2.18971,2.55866
GSM3143601,10711,31444,9043,0.60000,2.57830,1.90017,2.57830
GSM3148575,1673,12171,1239,1.55751,1.01641,0.54365,1.01641
GSM3148576,1517,12131,1381,1.57168,0.90762,0.42025,0.90762
GSM3148577,992,12612,2126,1.81354,0.85724,0.63086,0.85724
GSM3148578,1378,12950,2065,2.07327,0.83839,0.44038,0.83839
GSM3148579,1290,12930,2081,2.26934,0.81938,0.44474,0.81938
