ds,alpha,ncells,ngenes,ngenes_filt,sbar,raw,PF,sqrt,log1p,log1pCP10k,log1pCPM,scalelog1pCP10k,log1pPF,PFlogPF
GSM2877959,5.98486,17075,22892,3349,1610.636,18.51609,18.51609,3.19355,1.95888,0.42396,0.35172,0.36592,1.95888,0.06655
GSM2877960,6.43561,6277,20456,3794,2183.244,29.93418,29.93418,4.83456,2.00743,0.60946,0.33563,0.27053,2.00743,0.06976
GSM2894834,2.80443,12728,28410,9061,6238.548,64.05989,64.05989,7.31124,1.27692,0.90374,0.46751,0.19069,1.27692,0.07149
GSM2894835,2.59000,12259,31061,9463,6544.181,58.48359,58.48359,6.08305,1.24220,0.90562,0.47503,0.21510,1.24220,0.07615
GSM2905290,5.29000,8319,26747,5580,2343.694,34.64883,34.64883,3.25262,1.89586,0.56525,0.34985,0.33703,1.89586,0.05924
GSM2905291,0.79000,8296,32111,11987,10623.735,52.46312,52.46312,2.68946,0.76057,0.79651,0.62189,0.15432,0.76057,0.26208
GSM2905292,8.70000,9939,23729,3476,1344.974,31.43700,31.43700,3.17032,2.17959,0.41908,0.28661,0.37272,2.17959,0.07083
GSM2905293,1.24000,8509,32752,12293,10560.522,53.11775,53.11775,3.34800,0.89792,0.93543,0.57289,0.16162,0.89792,0.17103
GSM2928377,0.29000,2893,33451,15809,12017.647,24.46036,24.46036,0.85214,0.55749,0.63176,0.69519,0.14071,0.55749,0.50175
GSM2928378,0.32000,3462,33333,14463,8888.473,22.23733,22.23733,0.79228,0.58932,0.54219,0.65111,0.18349,0.58932,0.49340
GSM2928379,0.41000,3494,29751,12344,10262.099,16.69053,16.69053,1.04957,0.60831,0.61954,0.72195,0.16577,0.60831,0.41600
GSM2928380,17.24000,19962,33726,6662,2305.990,50.19274,50.19274,4.72000,1.83132,0.76690,0.18923,0.29380,1.83132,0.07198
GSM2928381,12.50000,6280,35945,14743,9479.656,55.43387,55.43387,3.87070,1.45603,1.41916,0.17899,0.44063,1.45603,0.08542
GSM2928382,18.49000,7899,37475,14864,8698.092,22.30934,22.30934,3.05417,1.52389,1.42381,0.11937,0.47462,1.52389,0.07449
GSM2928383,1.90000,2212,32861,18064,37173.117,16.34329,16.34329,2.74597,0.90050,1.70273,0.42629,0.99288,0.90050,0.10364
GSM2928384,20.87000,11360,35994,12307,6114.743,38.45329,38.45329,3.16085,1.62873,1.27738,0.12717,0.37797,1.62873,0.07045
GSM3020393,0.17000,3017,21653,6132,2387.440,61.42028,61.42028,0.59259,0.57983,0.19888,0.53280,0.36923,0.57983,0.74702
GSM3052917,20.75000,11420,35486,11758,5732.229,39.40539,39.40539,3.18107,1.63142,1.23854,0.13194,0.35002,1.63142,0.07061
GSM3052919,8.39000,3800,31558,12513,6305.106,63.06561,63.06561,7.23726,1.63087,1.23066,0.26735,0.38663,1.63087,0.07918
GSM3052921,10.71000,7247,31722,8315,3385.634,48.18649,48.18649,7.87380,1.90209,0.91998,0.23971,0.28386,1.90209,0.07335
GSM3073088,0.94941,6799,26730,8818,4991.627,45.27688,45.27688,2.00590,0.90103,0.49358,0.56063,0.31314,0.90103,0.24623
GSM3073089,0.49090,4552,26672,10493,6617.239,53.72678,53.72678,1.52279,0.68779,0.49624,0.60818,0.28063,0.68779,0.39698
GSM3143601,0.60000,10711,31444,9043,4205.001,51.00650,51.00650,1.32762,0.75318,0.36080,0.56716,0.30632,0.75318,0.35761
GSM3148575,1.55751,1673,12171,1239,765.610,32.35518,32.35518,5.55905,1.32578,0.11594,0.43632,0.44261,1.32578,0.16360
GSM3148576,1.57168,1517,12131,1381,801.121,33.94558,33.94558,5.37998,1.31437,0.10712,0.43438,0.43369,1.31437,0.16263
GSM3148577,1.81354,992,12612,2126,1127.972,37.42034,37.42034,5.47439,1.32209,0.09826,0.44285,0.39296,1.32209,0.14004
GSM3148578,2.07327,1378,12950,2065,887.073,39.41174,39.41174,5.31147,1.34896,0.07402,0.41301,0.40947,1.34896,0.11582
GSM3148579,2.26934,1290,12930,2081,919.404,40.17923,40.17923,5.97129,1.39404,0.07303,0.40599,0.39763,1.39404,0.10019
GSM3168248,1.70837,8333,25391,7631,3850.994,66.65447,66.65447,4.20118,1.18332,0.50164,0.48367,0.26639,1.18332,0.13354
GSM3169075,0.14753,2949,21518,6850,3579.780,43.86998,43.86998,0.52813,0.56298,0.27531,0.54286,0.31114,0.56298,0.79289
GSM3178782,3.43708,15841,20925,1193,1358.644,12.84430,12.84430,5.80994,1.75180,0.22795,0.42549,0.47518,1.75180,0.06338
GSM3178783,0.16597,71720,23787,689,910.150,18.70445,18.70445,1.38158,0.61772,0.29888,0.65434,0.66958,0.61772,0.80930
GSM3178784,0.84220,17262,22242,2470,2011.075,15.53039,15.53039,2.62268,0.98901,0.18294,0.55218,0.47721,0.98901,0.29713
GSM3178785,0.41300,6319,20744,2955,2455.091,20.67626,20.67626,2.11402,0.78753,0.21555,0.52270,0.47116,0.78753,0.50088
GSM3178786,0.89373,8609,21920,2476,2743.477,23.07603,23.07603,5.57135,1.07530,0.27752,0.48407,0.37669,1.07530,0.28443
GSM3273570,0.77588,3244,27956,13610,16242.173,22.19853,22.19853,3.14791,0.71553,1.02625,0.61269,0.42407,0.71553,0.24986
GSM3302524,67.76000,13945,34222,9270,3949.179,15.62459,15.62459,2.52498,1.79839,1.14761,0.03032,0.38154,1.79839,0.03305
GSM3302525,5.11000,6066,33410,13061,8753.191,57.95173,57.95173,3.74837,1.30895,1.21935,0.36929,0.32571,1.30895,0.08082
GSM3309832,0.26000,7236,26007,6976,5641.370,22.79197,22.79197,1.02578,0.61332,0.40161,0.62801,0.31309,0.61332,0.59664
GSM3309833,0.88000,1760,24357,11027,11703.862,16.41671,16.41671,2.97101,0.80687,0.91014,0.59966,0.20700,0.80687,0.24090
GSM3309834,0.61000,4805,26702,9692,9089.006,15.02821,15.02821,2.03107,0.71152,0.66087,0.64081,0.25378,0.71152,0.32728
GSM3309836,0.36000,9514,28426,9495,6859.720,14.76756,14.76756,1.03272,0.60226,0.45379,0.66477,0.24539,0.60226,0.45819
GSM3319032,0.24000,5089,23426,4521,2213.506,24.78457,24.78457,0.46996,0.65504,0.20215,0.55292,0.40388,0.65504,0.67558
GSM3319033,0.32000,2249,21450,5849,2417.520,40.88217,40.88217,0.61031,0.67065,0.20302,0.53933,0.39268,0.67065,0.55419
GSM3319034,0.16000,2848,22487,6051,2875.354,23.60896,23.60896,0.31297,0.58160,0.23229,0.58646,0.38179,0.58160,0.78048
GSM3319035,0.26000,3311,23158,5967,2754.309,28.40283,28.40283,0.50669,0.63643,0.22588,0.56387,0.39634,0.63643,0.61815
GSM3319036,0.47000,3683,23797,6699,2659.172,35.22635,35.22635,0.69273,0.71648,0.22017,0.56037,0.38958,0.71648,0.42912
GSM3319037,0.32000,2032,21238,6577,3349.962,38.06982,38.06982,0.87681,0.66605,0.26686,0.56058,0.34459,0.66605,0.54931
GSM3319038,0.29000,4671,23851,5121,2154.790,27.25900,27.25900,0.51042,0.67852,0.19002,0.53956,0.39329,0.67852,0.60394
GSM3319039,0.47000,3829,22825,5465,2073.616,20.94466,20.94466,0.52225,0.75141,0.17422,0.54251,0.41380,0.75141,0.43956
GSM3319040,0.57000,643,14422,5660,2284.159,19.58559,19.58559,0.69677,0.78911,0.19198,0.54392,0.43146,0.78911,0.38252
GSM3319041,0.63000,1270,17489,6062,2622.689,17.57179,17.57179,0.82310,0.80833,0.22819,0.55719,0.36502,0.80833,0.35688
GSM3319042,0.65000,1181,14690,3185,1168.755,22.83873,22.83873,0.64245,0.87835,0.14809,0.51077,0.50419,0.87835,0.36495
GSM3319043,0.75000,7286,22298,2713,1014.928,28.36900,28.36900,0.83236,0.96240,0.15114,0.49205,0.48253,0.96240,0.33340
GSM3319044,0.30000,4274,19555,2611,1106.696,22.18207,22.18207,0.40776,0.70397,0.20540,0.55294,0.51427,0.70397,0.60996
GSM3319045,0.31000,7040,19278,1711,791.827,14.89509,14.89509,0.38245,0.72261,0.26318,0.56826,0.58060,0.72261,0.60882
GSM3319046,2.40000,1675,13014,1307,503.623,22.68973,22.68973,1.43141,1.39572,0.16291,0.45363,0.60484,1.39572,0.09503
GSM3319047,0.34000,137,3378,2959,909.226,31.63902,31.63902,0.52556,0.69835,0.20371,0.53357,0.56022,0.69835,0.54875
GSM3360833,2.78000,10860,29414,9266,3676.977,64.31437,64.31437,3.65731,1.36235,0.59256,0.43638,0.25252,1.36235,0.07084
GSM3360834,0.28424,4701,26146,10151,4438.114,76.82973,76.82973,0.92398,0.59452,0.32199,0.58481,0.30581,0.59452,0.54367
GSM3360835,11.54367,8620,27916,7639,2511.683,46.50475,46.50475,10.12626,2.07478,0.73624,0.22045,0.21359,2.07478,0.06599
GSM3360836,0.29052,1157,6562,1310,1022.095,6.99450,6.99450,0.46172,0.63299,0.33553,0.78869,0.94941,0.63299,0.57063
GSM3360837,0.63881,12947,27946,6403,1986.093,69.91347,69.91347,1.54906,0.78671,0.16768,0.48684,0.40490,0.78671,0.35204
GSM3360838,0.41097,7332,26280,7828,2707.758,74.54059,74.54059,1.06765,0.67454,0.22095,0.53115,0.35752,0.67454,0.46005
GSM3375767,0.73000,2086,22549,8929,5962.536,27.06170,27.06170,1.77187,0.81107,0.52222,0.59390,0.27566,0.81107,0.30019
GSM3377671,0.60000,2965,29131,13881,12890.937,60.49715,60.49715,2.62826,0.66056,0.79782,0.63791,0.22153,0.66056,0.31123
GSM3377672,2.86000,12262,30829,9298,4653.746,42.29326,42.29326,3.29886,1.38033,0.74231,0.43653,0.30355,1.38033,0.06837
GSM3378054,0.39000,2733,25931,10990,14481.256,20.50966,20.50966,2.16714,0.64274,0.84823,0.63869,0.16299,0.64274,0.44805
GSM3378055,0.34000,2771,25957,11002,14836.307,17.14248,17.14248,1.97719,0.61612,0.82423,0.64449,0.15189,0.61612,0.48411
GSM3378056,0.37000,2263,23786,9378,9914.133,16.38838,16.38838,1.70042,0.66095,0.65655,0.61816,0.19905,0.66095,0.48275
GSM3378057,0.26000,2393,25730,11417,15542.735,28.09163,28.09163,1.84082,0.56718,0.77403,0.64851,0.19628,0.56718,0.55126
GSM3378058,0.25000,2562,25571,11027,14613.516,15.28256,15.28256,1.47635,0.56742,0.74142,0.66546,0.17689,0.56742,0.56742
GSM3378059,0.40000,4081,26458,9987,11833.415,15.59582,15.59582,1.84222,0.65475,0.74511,0.64375,0.16497,0.65475,0.44512
GSM3396161,9.16000,6992,26554,7645,5193.157,52.89240,52.89240,9.22235,2.02083,1.27274,0.25313,0.30182,2.02083,0.07582
GSM3396162,8.35000,6425,24498,5700,3498.913,43.57382,43.57382,7.37177,2.16203,0.97325,0.27574,0.33716,2.16203,0.07193
GSM3396163,3.81000,8775,25588,4364,3053.458,58.55115,58.55115,13.78891,1.84486,0.64962,0.37704,0.31048,1.84486,0.05631
GSM3396164,12.61000,4092,15865,1603,952.416,33.32318,33.32318,10.02690,2.25083,0.35459,0.24033,0.40961,2.25083,0.07389
GSM3396165,4.97000,9412,24827,3557,2431.241,53.06952,53.06952,13.35587,2.00760,0.59708,0.34956,0.31308,2.00760,0.05714
GSM3396166,0.30161,2103,16389,4224,6000.968,54.66400,54.66400,8.51056,0.66538,0.44470,0.55657,0.35806,0.66538,0.57539
GSM3396167,2.36787,1379,19025,8200,6904.117,70.36353,70.36353,11.18610,1.38409,1.01535,0.43951,0.24951,1.38409,0.08978
GSM3396168,1.03000,6594,23301,4704,5258.487,60.74933,60.74933,14.77045,1.05428,0.58385,0.50007,0.35478,1.05428,0.24545
GSM3396169,4.59000,5893,24117,5363,4209.069,59.12739,59.12739,13.72584,1.89658,0.93732,0.35300,0.27259,1.89658,0.05797
GSM3396170,4.60844,5000,25331,7208,5171.183,61.80213,61.80213,11.74527,1.81838,1.06675,0.34983,0.31503,1.81838,0.05748
GSM3396171,2.14724,869,18019,8810,8365.191,73.54439,73.54439,11.67868,1.29031,1.11632,0.45531,0.22780,1.29031,0.09973
GSM3396172,7.78000,4827,24096,6257,3821.718,40.90717,40.90717,7.11400,2.06469,1.00801,0.28558,0.27114,2.06469,0.07197
GSM3396173,4.25107,9198,23140,4195,3175.339,52.75601,52.75601,12.84614,1.89670,0.71703,0.36873,0.29390,1.89670,0.05709
GSM3396174,11.24000,5675,24552,6046,3616.712,37.47049,37.47049,7.31097,2.23843,1.08347,0.23117,0.33982,2.23843,0.07481
GSM3396175,1.40000,6018,24973,6243,3488.812,37.46735,37.46735,2.74288,1.19396,0.42814,0.48093,0.32728,1.19396,0.17592
GSM3396176,2.99000,6053,23656,6199,5651.779,65.17668,65.17668,13.50423,1.46253,0.92952,0.42857,0.35791,1.46253,0.06771
GSM3396177,1.80000,1870,9594,1744,1979.228,40.74456,40.74456,14.66367,1.29607,0.24307,0.49993,0.52740,1.29607,0.13244
GSM3396178,9.14072,12668,20161,1502,1106.831,31.02480,31.02480,9.74124,2.10557,0.35994,0.29346,0.37027,2.10557,0.07663
GSM3396179,6.70000,6242,25132,6319,3491.025,53.08125,53.08125,10.69195,1.95614,0.87443,0.30700,0.30999,1.95614,0.06605
GSM3396180,0.80000,1126,15304,4863,2230.131,49.51352,49.51352,2.21193,0.91283,0.19920,0.51286,0.37653,0.91283,0.29951
GSM3396181,7.49000,6103,25470,6395,3499.927,57.10459,57.10459,10.02253,1.97786,0.90482,0.29349,0.35082,1.97786,0.07000
GSM3396182,2.41565,200,12072,9209,7483.475,69.80716,69.80716,7.89529,1.19518,0.96363,0.47415,0.26529,1.19518,0.07854
GSM3396183,6.64000,6179,26251,7000,4544.748,63.60053,63.60053,9.99616,1.99025,1.08929,0.30323,0.30007,1.99025,0.06740
GSM3396184,11.25000,7926,12427,1073,1022.675,27.80415,27.80415,12.58844,2.12270,0.33912,0.25910,0.36770,2.12270,0.07609
GSM3396185,7.36000,4260,21567,4439,2555.535,36.74742,36.74742,7.24916,2.13695,0.73583,0.30213,0.29645,2.13695,0.06914
GSM3402078,1.22000,2914,23723,9896,4656.411,38.01914,38.01914,4.12982,0.93920,0.49171,0.49783,0.24138,0.93920,0.19482
GSM3402080,2.14000,2021,22341,9220,4197.201,37.17486,37.17486,5.07140,1.22953,0.57908,0.44215,0.25587,1.22953,0.09978
GSM3439913,0.98241,1994,24898,11437,13153.089,34.44242,34.44242,3.43987,0.81610,0.99690,0.61839,0.22598,0.81610,0.20987
GSM3439914,0.45000,1616,24622,11785,13066.196,35.66713,35.66713,2.21431,0.62417,0.75906,0.68155,0.19339,0.62417,0.38813
GSM3439915,1.14000,2241,25220,11410,16194.255,49.11494,49.11494,5.57711,0.88615,1.26459,0.55918,0.25363,0.88615,0.18515
GSM3439916,1.43000,2324,26166,12063,16624.483,32.07501,32.07501,4.93463,0.92284,1.31784,0.54418,0.26402,0.92284,0.14211
GSM3439917,4.54000,3407,26176,10617,12763.380,39.08303,39.08303,7.16609,1.33620,1.55089,0.35178,0.27878,1.33620,0.07695
GSM3439918,1.11964,2998,27180,11923,14647.619,58.75733,58.75733,5.12284,0.85598,1.12897,0.58609,0.23615,0.85598,0.18563
GSM3439919,4.55689,3001,22684,9262,5701.916,39.16904,39.16904,4.41478,1.54114,1.02998,0.37676,0.39039,1.54114,0.06543
GSM3439920,1.63000,6796,29960,11261,14603.351,24.36396,24.36396,4.45605,1.03065,1.34301,0.52373,0.25033,1.03065,0.12816
GSM3439921,2.88000,11005,29129,8914,6710.006,46.54439,46.54439,4.59457,1.32579,0.98443,0.45523,0.31887,1.32579,0.07064
GSM3439922,2.93000,12785,28754,7582,5170.424,35.89523,35.89523,4.43275,1.46158,0.86419,0.44049,0.33203,1.46158,0.07001
GSM3439923,1.99000,4412,28857,12143,8827.262,53.75824,53.75824,4.91016,1.07143,0.97551,0.49982,0.21984,1.07143,0.09930
GSM3439925,1.42000,10786,22441,2435,989.540,30.16047,30.16047,1.48608,1.18018,0.11235,0.50327,0.51693,1.18018,0.18535
GSM3439926,1.34000,6683,29152,11359,7320.410,46.44484,46.44484,3.17836,0.97639,0.75711,0.53726,0.22583,0.97639,0.16716
GSM3439927,9.07000,7426,29149,10186,5927.275,36.95919,36.95919,5.37696,1.77824,1.26171,0.25331,0.20066,1.77824,0.07868
GSM3439987,2.32000,7041,27415,9405,5643.487,38.15667,38.15667,3.76919,1.29850,0.81094,0.46206,0.34579,1.29850,0.08876
GSM3439988,1.55379,2518,24059,11239,10038.920,55.87408,55.87408,4.85512,1.01055,1.01354,0.53614,0.32232,1.01055,0.13735
GSM3439989,3.76000,6471,26724,9035,5907.737,58.63663,58.63663,5.41753,1.43810,0.98192,0.41579,0.40687,1.43810,0.06330
GSM3509837,9.87000,757,13602,4907,1354.388,26.02426,26.02426,2.17461,2.07355,0.42719,0.26131,0.56497,2.07355,0.06833
GSM3509838,0.31000,2614,26511,12215,6922.573,45.65030,45.65030,0.68809,0.56905,0.43675,0.67640,0.25960,0.56905,0.48906
GSM3509839,0.48000,4507,27219,9752,4117.302,57.51173,57.51173,0.89726,0.67324,0.32590,0.60056,0.32867,0.67324,0.40330
GSM3509840,0.43000,3057,26037,10614,4681.363,53.72006,53.72006,0.79925,0.65174,0.35670,0.60140,0.32789,0.65174,0.42950
GSM3516947,0.40000,10132,29212,8720,5366.970,28.33444,28.33444,0.97450,0.66547,0.40322,0.62588,0.26918,0.66547,0.45926
GSM3516948,0.43000,13930,29817,7760,5655.226,18.58598,18.58598,1.28451,0.70048,0.43961,0.60965,0.25925,0.70048,0.45030
GSM3526583,0.63000,3101,24288,8802,3566.658,31.54958,31.54958,1.33297,0.75124,0.30748,0.53787,0.30470,0.75124,0.34193
GSM3526584,0.37000,5273,25617,7154,2829.307,38.65464,38.65464,0.71507,0.67516,0.22897,0.52746,0.36467,0.67516,0.49674
GSM3526585,1.31000,8802,24999,6316,1998.002,25.88671,25.88671,1.91423,0.99588,0.20254,0.45595,0.35034,0.99588,0.18955
GSM3526586,2.15000,9260,27265,7056,2348.578,26.37895,26.37895,2.44669,1.28291,0.32188,0.42927,0.32444,1.28291,0.10321
GSM3526587,3.33000,3798,31963,13117,7633.633,27.36974,27.36974,2.56545,1.19899,1.00729,0.44346,0.30700,1.19899,0.06623
GSM3526588,1.49000,7558,32002,9743,3888.484,35.54854,35.54854,1.63373,1.03177,0.46409,0.51750,0.30938,1.03177,0.15733
GSM3526589,2.40000,12633,33078,7970,2683.854,31.65836,31.65836,3.11548,1.30583,0.40017,0.42055,0.30073,1.30583,0.08869
GSM3526590,1.60000,12589,36216,10305,4048.873,34.32886,34.32886,1.78075,1.02127,0.49072,0.51353,0.29960,1.02127,0.14225
GSM3529821,1.82000,15247,27342,6799,5024.291,40.41508,40.41508,4.33988,1.18659,0.68239,0.52941,0.30558,1.18659,0.12257
GSM3535276,1.00000,12849,29968,9274,4904.060,34.74692,34.74692,1.69509,0.91899,0.49845,0.56063,0.26166,0.91899,0.23587
GSM3535277,1.12000,6345,27726,9716,5246.667,37.36168,37.36168,1.89192,0.95461,0.55159,0.55159,0.25791,0.95461,0.20951
GSM3535278,0.41000,6062,26283,8658,4855.612,25.01188,25.01188,0.85581,0.67048,0.37264,0.61916,0.28176,0.67048,0.45376
GSM3535279,1.03000,6394,27009,9104,5147.020,27.93378,27.93378,1.72988,0.93551,0.52754,0.56131,0.25971,0.93551,0.22727
GSM3535280,0.57000,5700,27663,10438,6739.191,42.69660,42.69660,1.44473,0.71998,0.52374,0.62167,0.23054,0.71998,0.35490
GSM3535281,0.47000,4064,25557,9636,4686.895,38.78287,38.78287,0.98314,0.69049,0.37143,0.58822,0.28762,0.69049,0.41540
GSM3557959,0.96000,1506,13440,2981,1291.940,32.10886,32.10886,1.34586,1.00507,0.12918,0.53392,0.53230,1.00507,0.26239
GSM3557960,2.36000,1626,17714,5373,2219.408,23.70381,23.70381,1.84461,1.37884,0.33141,0.46119,0.44077,1.37884,0.08931
GSM3557961,0.31000,932,11829,2913,1300.558,24.19144,24.19144,0.52089,0.70992,0.19353,0.56770,0.50736,0.70992,0.60048
GSM3557962,0.73000,1507,15611,3992,1562.689,27.80673,27.80673,0.86115,0.88854,0.14018,0.53257,0.50443,0.88854,0.33051
GSM3557963,2.92253,1991,9685,998,345.229,18.13996,18.13996,1.23336,1.35018,0.20728,0.44267,0.67048,1.35018,0.06830
GSM3557964,0.77000,1833,15658,3219,1330.894,37.49701,37.49701,1.14396,0.93434,0.13894,0.53495,0.54050,0.93434,0.32420
GSM3557965,0.68000,1312,15104,4528,1766.331,36.81582,36.81582,0.89603,0.85750,0.15335,0.54260,0.50945,0.85750,0.34440
GSM3557966,10.46227,1958,7818,563,186.980,16.72164,16.72164,1.92552,1.90737,0.10068,0.25961,0.91008,1.90737,0.06456
GSM3557967,2.01000,813,11482,3512,874.006,44.43706,44.43706,1.50921,1.20741,0.07220,0.41051,0.52368,1.20741,0.11941
GSM3557968,3.09019,1989,10749,1144,391.981,18.73845,18.73845,1.44615,1.38488,0.17344,0.43041,0.66152,1.38488,0.06348
GSM3557969,0.18000,2417,16867,3412,1516.210,27.61235,27.61235,0.33378,0.62470,0.19689,0.57812,0.49286,0.62470,0.78333
GSM3557970,0.89000,1440,17119,5704,2356.096,15.76879,15.76879,0.89784,0.91411,0.21432,0.54836,0.46456,0.91411,0.26809
GSM3557971,0.80000,964,15243,5268,2008.568,31.38459,31.38459,1.05854,0.89097,0.17532,0.52445,0.44170,0.89097,0.30198
GSM3557972,0.77000,1829,17577,3923,1293.482,48.94059,48.94059,1.27123,0.89169,0.12171,0.48791,0.52566,0.89169,0.32094
GSM3557973,2.56000,798,12966,5435,1933.484,29.65543,29.65543,1.78014,1.36970,0.29540,0.45965,0.52398,1.36970,0.08264
GSM3558027,0.77000,3599,16825,6138,4824.252,19.78820,19.78820,2.30446,0.86334,0.44656,0.56458,0.29427,0.86334,0.29624
GSM3576397,2.66000,1348,8110,574,409.550,19.10822,19.10822,4.78924,1.61823,0.18932,0.44192,0.59532,1.61823,0.08058
GSM3576398,3.29512,10649,14027,186,171.224,11.47380,11.47380,4.28547,1.79467,0.29001,0.41455,0.69272,1.79467,0.06376
GSM3576399,3.21000,3843,13000,428,293.900,14.49382,14.49382,4.30487,1.80435,0.21002,0.40847,0.69614,1.80435,0.06523
GSM3576400,1.50000,11916,14305,149,189.093,11.67634,11.67634,4.40282,1.30954,0.36532,0.48560,0.73483,1.30954,0.15951
GSM3576401,3.47000,3379,12797,625,348.657,17.58314,17.58314,3.84398,1.65860,0.18046,0.42168,0.69458,1.65860,0.05909
GSM3576402,2.94000,3245,12051,411,253.744,16.00733,16.00733,3.44898,1.69731,0.24605,0.42033,0.65949,1.69731,0.07235
GSM3576403,4.77000,7080,15311,392,219.669,15.16532,15.16532,3.35079,1.97630,0.20114,0.36716,0.70493,1.97630,0.05183
GSM3576404,3.53000,3751,9983,295,188.197,13.31199,13.31199,3.10373,1.66751,0.28027,0.42775,0.66201,1.66751,0.05924
GSM3576405,3.75000,5385,13081,315,196.200,11.60864,11.60864,3.09620,1.79214,0.25186,0.40010,0.74453,1.79214,0.05628
GSM3576406,2.60000,1653,13201,824,430.652,18.97918,18.97918,3.16610,1.64544,0.16860,0.41224,0.51904,1.64544,0.08512
GSM3576407,2.57000,1341,11427,735,366.273,17.54320,17.54320,2.87838,1.63625,0.19003,0.39987,0.53256,1.63625,0.08471
GSM3576408,2.99000,11255,20408,582,276.352,16.80443,16.80443,2.39019,1.69248,0.21628,0.39689,0.75188,1.69248,0.06861
GSM3576409,4.37000,2272,11310,620,340.868,17.60282,17.60282,4.14046,1.96323,0.14243,0.37732,0.63660,1.96323,0.05117
GSM3576410,2.46379,7901,17715,613,390.665,15.45269,15.45269,3.57213,1.57665,0.20197,0.44429,0.72742,1.57665,0.09115
GSM3576411,2.44000,1925,12488,748,366.566,18.94275,18.94275,2.64133,1.68029,0.19128,0.40084,0.51814,1.68029,0.09590
GSM3576412,2.62000,12880,20315,574,369.631,14.96901,14.96901,3.75464,1.72912,0.19237,0.41499,0.54256,1.72912,0.08584
GSM3576413,2.95000,9210,15314,241,169.435,9.42107,9.42107,2.46364,1.75145,0.30626,0.43396,0.66986,1.75145,0.07513
GSM3576414,2.33000,9797,15323,245,196.211,13.19197,13.19197,3.59900,1.68180,0.29977,0.42924,0.64155,1.68180,0.10186
GSM3576415,3.17504,8802,18978,495,261.037,15.68580,15.68580,2.36468,1.74737,0.23023,0.40423,0.66646,1.74737,0.06471
GSM3576416,1.87647,6886,14394,253,157.410,9.63954,9.63954,1.63052,1.42713,0.34875,0.45852,0.85456,1.42713,0.13187
GSM3576417,2.91000,5143,11084,210,140.748,11.74315,11.74315,2.35688,1.64442,0.33659,0.44636,0.68146,1.64442,0.07443
GSM3576418,3.64605,8013,14238,252,145.709,12.56232,12.56232,2.13867,1.75000,0.29182,0.40333,0.72755,1.75000,0.05653
GSM3576419,4.35000,10214,15795,238,144.211,10.54910,10.54910,1.95581,1.81633,0.27651,0.39146,0.64339,1.81633,0.05457
GSM3576420,2.83000,3341,19942,1508,593.945,22.49768,22.49768,2.35399,1.71830,0.08551,0.37092,0.43420,1.71830,0.07377
GSM3576421,2.28000,1322,11808,757,347.609,16.24285,16.24285,1.78127,1.65380,0.20020,0.39292,0.50897,1.65380,0.10317
GSM3576422,2.52000,8784,20300,634,296.871,15.63576,15.63576,1.86136,1.63302,0.22245,0.40429,0.65570,1.63302,0.08999
GSM3576423,3.30000,918,10311,1592,585.617,20.20001,20.20001,2.17202,1.60782,0.08351,0.40475,0.58450,1.60782,0.06057
GSM3576424,4.14000,939,10761,1566,631.519,27.51841,27.51841,3.77454,1.79625,0.05016,0.37704,0.45913,1.79625,0.05131
GSM3576425,2.72876,3009,14413,758,317.794,16.03294,16.03294,1.85626,1.66688,0.20027,0.39268,0.57784,1.66688,0.08008
GSM3576426,4.29000,1919,12797,568,294.862,13.54141,13.54141,2.52202,1.72660,0.17849,0.40062,0.64682,1.72660,0.05189
GSM3576427,2.43000,1479,13708,1045,486.736,16.78969,16.78969,2.89573,1.63605,0.13834,0.38703,0.47181,1.63605,0.09354
GSM3576428,2.55000,11343,20581,599,272.800,14.67973,14.67973,2.08125,1.61834,0.22447,0.39592,0.74045,1.61834,0.08809
GSM3576429,3.05422,10514,18627,460,218.487,13.22869,13.22869,2.01744,1.76910,0.24068,0.38827,0.72142,1.76910,0.06718
GSM3576430,4.88000,8976,17340,496,253.165,14.03977,14.03977,3.14135,1.95170,0.17808,0.36703,0.71886,1.95170,0.05205
GSM3587008,1.65000,5555,25721,8221,5932.558,22.64612,22.64612,3.45306,1.19993,0.76857,0.49750,0.29721,1.19993,0.13815
GSM3587009,2.20000,12781,25996,5145,3026.990,19.66892,19.66892,3.08186,1.41473,0.48217,0.47661,0.34324,1.41473,0.10189
GSM3587010,1.77000,5604,24846,8056,6803.996,28.72074,28.72074,4.65913,1.20064,0.87040,0.49307,0.31109,1.20064,0.12459
GSM3587011,1.73000,8903,26883,7128,5186.244,23.07951,23.07951,3.57484,1.23654,0.70491,0.49931,0.31226,1.23654,0.13340
GSM3587013,0.93000,6749,23872,4530,3330.633,25.78176,25.78176,3.93737,1.05049,0.35160,0.49932,0.39834,1.05049,0.27172
GSM3665016,0.59000,2612,22258,6942,3743.453,49.64066,49.64066,1.78262,0.79188,0.32643,0.52213,0.33054,0.79188,0.36829
GSM3665017,0.17000,2028,22311,8463,5594.174,38.14288,38.14288,0.72868,0.55646,0.37605,0.57878,0.26645,0.55646,0.71211
GSM3665018,0.11000,2122,22152,7837,4453.352,38.76145,38.76145,0.41854,0.54231,0.31753,0.56296,0.29617,0.54231,0.89136
GSM3665019,0.44000,3189,22526,6374,3081.191,43.80299,43.80299,1.15573,0.72254,0.25657,0.51465,0.33318,0.72254,0.44920
