method	mean_significant_balances	sd_significant_balances	median_significant_balances	mean_fraction_significant	median_p90_neglog10_padj
PF	0.155	0.402223718343399	0.0	0.0008611111111111111	0.0
log1p	0.385	0.590353782015241	0.0	0.002138888888888889	0.0
sctransform	0.46	0.5383764911575872	0.0	0.0025555555555555557	0.0
PFlog	0.49	0.6724290327016677	0.0	0.0027222222222222227	0.0
log1pCP10k	0.82	0.5376292645779743	1.0	0.004555555555555556	0.0
log1pPF	0.835	0.5089895399306297	1.0	0.0046388888888888894	0.0
log1pCPM	1.2	0.7088812050083358	1.0	0.006666666666666667	0.0
sqrt	5.73	1.2184098707189326	6.0	0.03183333333333333	0.0
raw	8.33	1.6230438554715385	8.0	0.04627777777777778	0.0
