mode,method,median_2d_segment,mean_2d_segment,median_10d_displacement,mean_10d_displacement
combined_pca,log1pPF,0.0017598934840240418,0.0018547268269438902,0.005413684894544111,0.00647228684359906
combined_pca,PFlog1pPF,0.002124055888289143,0.002137005029680954,0.004417473638280231,0.0046750848316407375
displacement_optimized,log1pPF,0.004012918849809178,0.005085295507005182,0.005413684894544111,0.00647228684359906
displacement_optimized,PFlog1pPF,0.0029626873869496857,0.00320223159616002,0.004417473638280231,0.0046750848316407375
