cell_index,log1pPF_distance,PFlog1pPF_distance,ratio_PFlogPF_over_logPF
0,0.0107782580045989,0.0038561904250577,0.35777492275767836
1,0.0025300994311006,0.0029494639112183,1.1657501973885962
2,0.0039910767241786,0.0066860023243703,1.6752377331824757
3,0.0049966254401473,0.00469158605417,0.9389509200496912
4,0.0088771986280718,0.0029646630641283,0.33396380866744774
5,0.0125711868232716,0.0034943701885337,0.2779666102857506
6,0.0090882485015678,0.0040422152634303,0.4447738486390402
7,0.0046440802596366,0.0048161294390942,1.037046986666648
8,0.005091903228083,0.0065159740740469,1.2796735880819232
9,0.0059797786155409,0.0058584243222558,0.979705888614386
10,0.0072551055505125,0.0043103428282674,0.5941116636081081
11,0.0062988273349843,0.0030486865962775,0.4840085994014788
12,0.004057383639382,0.0044171038134388,1.0886581615219386
13,0.0076301913046134,0.0060257210371997,0.7897208335466507
14,0.0085665345546383,0.0057772963030228,0.6744029649532806
15,0.0066345998007608,0.004085061372403,0.6157208415094697
16,0.0110699743238998,0.0060013393331079,0.5421276651158221
17,0.0093264639854791,0.0072512467329019,0.7774915277849973
18,0.0042981620201122,0.0027132025707783,0.6312471605496794
19,0.0071091502145765,0.0061497131837299,0.8650419527105526
20,0.0036172201522144,0.0037519136545157,1.0372367444151396
21,0.0048012543460979,0.0042286367505504,0.8807358339570406
22,0.0026097094458294,0.0026922457849168,1.0316266392104694
23,0.0194909871977606,0.0062665645695673,0.3215108863386505
24,0.0034811762594375,0.0022215588297829,0.6381632713253844
25,0.0070800512710964,0.003971889648464,0.5609973002143136
26,0.0037159341232108,0.0042756836628019,1.150634946969254
27,0.0047685266399178,0.0053491730289055,1.1217664139961079
28,0.0127911559320062,0.0030708602122331,0.24007683344310993
29,0.0133691826789737,0.0048759105889255,0.36471269082096236
30,0.0045038279616117,0.0033007540702292,0.7328774763075144
31,0.0056316590253153,0.0061704697982081,1.0956753188484514
32,0.0031390074474815,0.0038247018791965,1.2184430725913533
33,0.0039154482141305,0.0043058976143006,1.0997202309459755
34,0.007114785486418,0.0046095046419003,0.6478768264622683
35,0.0024680206383358,0.0030440345267352,1.2333910338723137
36,0.0100468512096215,0.0046009571002551,0.45795015813998846
37,0.0028698553207049,0.0033153003632315,1.155215156427185
38,0.0046310090960972,0.0039479837338933,0.8525104684463863
39,0.0046991856864894,0.0046700174813824,0.9937929234865392
40,0.0040416113751992,0.0028300505169628,0.7002282639862459
41,0.0033510798829933,0.0038349594598805,1.144395118523699
42,0.0060733478416583,0.0059115653178466,0.9733618873758553
43,0.0031378922751804,0.0021564221695527,0.6872199490751242
44,0.0034498072941236,0.0062074554494666,1.7993629557338975
45,0.0040644192773105,0.0048332542066488,1.1891623075479192
46,0.004319301941493,0.0044290404871664,1.025406546511418
47,0.0031331554417896,0.0032665752181944,1.0425831973177153
48,0.0087450013770832,0.0041760749876634,0.4775385168728566
49,0.0089962959065221,0.0036952786411893,0.4107555686902552
50,0.0035516308381512,0.0056217535769736,1.5828654027286242
