method	pc1_loading_correlation_abs_sign_aligned	pc1_loading_r2_abs_sign_aligned	n_genes	seqwell_n_cells	seqwell_mean_depth	seqwell_median_depth	seqwell_alpha	seqwell_K	tenx_v3_n_cells	tenx_v3_mean_depth	tenx_v3_median_depth	tenx_v3_alpha	tenx_v3_K
logCP10K	0.23767702742939534	0.05649036936767354	3000	560	726.4214285714286	510.5			560	8509.457142857143	5429.5		
logPF, estimated K	0.3857157639981204	0.1487766505966537	3000	560	726.4214285714286	510.5	6.07195701684516	12299.6597311724	560	8509.457142857143	5429.5	12.681369319781423	361913.6895984514
PFlog	0.7529513537984324	0.566935741186892	3000	560	726.4214285714286	510.5	6.07195701684516	12299.6597311724	560	8509.457142857143	5429.5	12.681369319781423	361913.6895984514
