gene	logCP10K_Seq-Well_PC1_loading	logCP10K_10x_v3_PC1_loading	logPF, estimated K_Seq-Well_PC1_loading	logPF, estimated K_10x_v3_PC1_loading	PFlog_Seq-Well_PC1_loading	PFlog_10x_v3_PC1_loading
AAK1	0.0032705809984710037	0.009547609443119671	0.0037365848430780902	0.005140510949284742	0.001569692117837418	0.018180395105078073
ABCA3	0.012703238480032793	-0.021004308033286602	0.012700458164340641	0.004553709266514435	-0.013070029262136676	-0.028306991905410937
ABCG1	0.004686682122245318	0.01854419297035181	0.004827606704010767	0.015799186510302005	0.0065987940296739185	0.01793210971300944
ABHD2	0.01313131590264074	-0.007102752130205777	0.013438995327319202	0.023029131438377922	0.0016318789557855538	-0.02052449048100432
ABHD5	0.008678524797787586	0.016852296774557064	0.008785047031398123	0.025040936369726752	0.005634264181407925	0.00886577839920386
ABI1	0.00934760688607395	0.004486828077474895	0.00983412323206745	0.014737938259487094	0.011069758196288644	0.0006535716205818948
ABRACL	0.012332831534419606	0.017092456875143887	0.012402411136911642	0.013629593720943039	0.004429838190209012	0.020165202772966944
ACAA1	0.006101411185485278	0.012541969140240255	0.006328160136921232	0.020133126797052946	-0.003141032120100956	0.007245875565745766
ACAA2	0.009059699158739325	0.0077576250233605815	0.009245760980090374	0.015842627094008452	0.006246506627243623	0.004789215874706448
ACADM	0.013289330439383587	-0.00041041417149332465	0.013692208410453342	0.015903020343459556	0.0015437401289778421	-0.008916084068353362
ACADVL	0.007210293280050753	0.005847496714351806	0.007510531020413726	0.021825422423062554	0.006721381540907317	-0.004522674054893782
ACAP2	0.01585295283825949	0.017369157417402897	0.016383244508880578	0.017539754507891508	0.026841458566593902	0.01719169013129671
ACAT1	0.003505874846040736	5.08305644931577e-05	0.003500919214653124	0.017272779503301094	0.00641786442163552	-0.008965516983541371
ACAT2	0.0047568015103354195	-0.007694002020068029	0.004846907507120592	0.009593390490055744	-0.0003410153906758489	-0.01741378663426059
ACBD3	0.017250672716153877	0.001420829221846237	0.01727500698454711	0.018757644255186938	-0.007532802311006019	-0.007985371782246065
ACER3	0.011790486846544924	0.01742488504046249	0.011851459762494682	0.018854446188865583	0.015763367703862073	0.017710575556133434
ACIN1	0.00041962240919365436	-0.0007271881650849057	0.001107202915848313	0.00968339881887295	0.0011212060053039984	-0.0038019455302857846
ACO1	0.0087495584709255	0.00958199498835591	0.008935543327776498	0.01641348814229255	0.0034461220700835447	0.005972330816519215
ACP1	0.015350042929933385	-0.0020254602575545274	0.01571575359752024	0.015076618922739428	-0.00574543959708843	-0.009473908291734735
ACP5	0.014207665850129388	0.03718631262735254	0.01424964042212004	0.02752457157741265	0.013723696800069466	0.024191583595947634
ACSL1	0.003645915811040847	0.020179124428780528	0.0036010511632171725	0.022516080810411544	0.013620009657522721	0.012239772067102719
ACSL3	0.008641098442736101	0.002856980773128737	0.008772295521838487	0.016340162597720954	0.002530910239983091	-0.005874038974444903
ACSL4	0.02415903391001093	0.0024788745518123864	0.02414959227173845	0.014773824389627262	0.0032055769967712037	-0.0005732087663849867
ACTB	0.05568970702165883	0.07446334900634681	0.055299700559083946	0.01880183604509239	0.0265396547113825	0.03850615412863851
ACTG1	0.047035733820252806	0.03965322736566801	0.04714382686293398	0.017866611557645854	-0.009259538487162048	0.02099632190402719
ACTN1	0.005121876321973634	0.016014018403405557	0.005287948851969523	0.019517373649836123	0.0003695857863101092	0.014087675364814731
ACTN4	0.004636879937546361	-0.004463326391906517	0.005491064687519466	0.019694807111295058	-0.0038395240190186217	-0.0163587964849805
ACTR2	0.0348550286284653	0.04453872515745197	0.03531990022165733	0.022056571646152354	0.046075199799677294	0.037121645687755944
ACTR3	0.03219260624008943	0.029902021737718453	0.03232581877295986	0.020326070653725863	0.028787560738144504	0.024896533629224834
ADA2	0.003502856919689462	0.024905503854503703	0.003555741145927832	0.01488982101503628	0.007576914766743634	0.029174779660052684
ADAM10	0.016015338770231195	0.012251823130168408	0.016485203195662282	0.013973610335761891	0.009127072964396094	0.013228426988613887
ADAM17	0.011445236138598661	0.017015691182157566	0.011440085793150166	0.0202652975302968	0.009409319323193456	0.014768425323163558
ADAMTSL4	0.005663038346223524	0.018486705045796394	0.005739338185992569	0.016272094067384616	0.007389923138521939	0.022837284232183282
ADAR	0.007942358888843142	0.0077885868669948025	0.008278126204573103	0.01563767572621898	0.002301112218623199	0.0024547170932049
ADD1	0.008421019955436393	-0.002024315009940242	0.008592671304807351	0.009591739556135058	-4.415233105819902e-05	-0.005096653787133375
ADD3	0.005839387416055086	-0.0019386813953702294	0.006599884345514566	0.005252881380398175	0.0046862014283649955	-0.0030689929438886005
ADGRE5	0.00818829453426878	0.02533161832914674	0.008703433252228197	0.015235738778518425	0.02204119532297936	0.02844821157968282
ADGRF5	0.030037309906586613	-0.024194838414186744	0.02992190927498032	0.009388428188408706	-0.04290131901679068	-0.04011797997645417
ADH5	0.003063375836762998	-0.0034470055869767558	0.0030864166168954425	0.018225326155925092	0.0033971057285117298	-0.013440294330515024
