method,displacement
log1pPF,0.010778258004598902
log1pPF,0.002530099431100625
log1pPF,0.00399107672417865
log1pPF,0.004996625440147331
log1pPF,0.008877198628071802
log1pPF,0.01257118682327169
log1pPF,0.00908824850156786
log1pPF,0.004644080259636639
log1pPF,0.005091903228083074
log1pPF,0.005979778615540943
log1pPF,0.007255105550512595
log1pPF,0.006298827334984334
log1pPF,0.004057383639382026
log1pPF,0.007630191304613466
log1pPF,0.008566534554638365
log1pPF,0.006634599800760817
log1pPF,0.011069974323899895
log1pPF,0.009326463985479126
log1pPF,0.004298162020112262
log1pPF,0.0071091502145765465
log1pPF,0.0036172201522144893
log1pPF,0.004801254346097959
log1pPF,0.0026097094458294385
log1pPF,0.01949098719776065
log1pPF,0.003481176259437582
log1pPF,0.0070800512710964365
log1pPF,0.0037159341232108987
log1pPF,0.004768526639917853
log1pPF,0.012791155932006292
log1pPF,0.013369182678973782
log1pPF,0.004503827961611739
log1pPF,0.005631659025315309
log1pPF,0.0031390074474815285
log1pPF,0.003915448214130587
log1pPF,0.0071147854864180215
log1pPF,0.0024680206383358863
log1pPF,0.010046851209621515
log1pPF,0.002869855320704924
log1pPF,0.004631009096097225
log1pPF,0.004699185686489465
log1pPF,0.004041611375199242
log1pPF,0.003351079882993348
log1pPF,0.006073347841658397
log1pPF,0.0031378922751804372
log1pPF,0.0034498072941236036
log1pPF,0.004064419277310515
log1pPF,0.004319301941493095
log1pPF,0.0031331554417896937
log1pPF,0.008745001377083275
log1pPF,0.008996295906522168
log1pPF,0.0035516308381512893
log1pPF,0.012945198961625866
log1pPF,0.005413684894544111
log1pPF,0.03775932217451257
log1pPF,0.005946566252238516
log1pPF,0.003370301185042621
log1pPF,0.006608771922036544
log1pPF,0.008472792470411697
log1pPF,0.015645002964334583
log1pPF,0.004986644548851518
log1pPF,0.006081749064018398
log1pPF,0.008124604245644254
log1pPF,0.00855076636395728
log1pPF,0.012964550582326536
log1pPF,0.006827665274792383
log1pPF,0.003973051134385759
log1pPF,0.004422946631595732
log1pPF,0.004423032013612655
log1pPF,0.003330798968755528
log1pPF,0.003317570732860452
log1pPF,0.007121771874515261
log1pPF,0.004039860832665093
log1pPF,0.006259810438876346
log1pPF,0.008058047485956947
log1pPF,0.006786435951685948
log1pPF,0.01634488388031303
log1pPF,0.003764800529051753
log1pPF,0.012137431593741591
log1pPF,0.005138096107516523
log1pPF,0.008781197442180278
log1pPF,0.008312761143771344
log1pPF,0.005421620958932603
log1pPF,0.010937478266407105
log1pPF,0.006250870262924568
log1pPF,0.0020156124384804893
log1pPF,0.006932863825843996
log1pPF,0.004286882003929238
log1pPF,0.005357507135802557
log1pPF,0.0033750476630262905
log1pPF,0.009114552306726977
log1pPF,0.00876305551159567
log1pPF,0.00404232899182799
log1pPF,0.005438111064273535
log1pPF,0.0035553764649863054
log1pPF,0.00585431978205768
log1pPF,0.010505418284740976
log1pPF,0.004846490792221775
log1pPF,0.00813920374683744
log1pPF,0.004079709423574752
log1pPF,0.0076653234040168355
log1pPF,0.003071133286252069
log1pPF,0.004509443244473004
log1pPF,0.010375632573185573
log1pPF,0.0036174315311813966
log1pPF,0.010784187436920152
log1pPF,0.0037961456675233156
log1pPF,0.004715594493125864
log1pPF,0.005269706947357402
log1pPF,0.00596229891674436
log1pPF,0.004398701147470605
log1pPF,0.004988019127684385
log1pPF,0.007764189668380415
log1pPF,0.003704325701924698
log1pPF,0.003476309114109959
log1pPF,0.004502583058072913
log1pPF,0.008147676422428654
log1pPF,0.004453113288564792
log1pPF,0.004897254765318382
log1pPF,0.00538218517937162
log1pPF,0.0029141773377167873
log1pPF,0.006226012599006065
log1pPF,0.00902381079712737
log1pPF,0.005672942587737525
log1pPF,0.0028500128196262222
log1pPF,0.002813593667200874
log1pPF,0.004056481163778682
log1pPF,0.003734421431100136
log1pPF,0.0059930294591964365
log1pPF,0.004129809816786221
log1pPF,0.005057792914975763
log1pPF,0.004729523901256779
log1pPF,0.005953014066466911
log1pPF,0.0030840365623513786
log1pPF,0.004564218132563167
log1pPF,0.0072489409741316
log1pPF,0.005046515535543104
log1pPF,0.0034180967329677007
log1pPF,0.007621090147056557
log1pPF,0.009561398575990514
log1pPF,0.005177037686597235
log1pPF,0.008518341632780903
log1pPF,0.002881950484680561
log1pPF,0.0053882185007811945
log1pPF,0.021767408023849737
log1pPF,0.007107437270739275
log1pPF,0.006203205816614333
log1pPF,0.006891295554313849
log1pPF,0.0068136687695631104
log1pPF,0.002366512228137386
log1pPF,0.005464637828141596
log1pPF,0.00300074211755197
log1pPF,0.007972731760591819
log1pPF,0.006193611945425467
log1pPF,0.00972929903611062
log1pPF,0.003029179202015339
log1pPF,0.0030213105056770603
log1pPF,0.008780162368087381
log1pPF,0.0035423556372081184
log1pPF,0.005988401991579795
log1pPF,0.005812119782887944
log1pPF,0.0024860713527784612
log1pPF,0.005696156174808102
log1pPF,0.003472497918910875
log1pPF,0.009997755483022217
log1pPF,0.008824648116730628
log1pPF,0.014066294773650269
log1pPF,0.00588829790214641
log1pPF,0.00464661451353721
log1pPF,0.006596146410777985
log1pPF,0.005522305228103563
log1pPF,0.003296910353637544
log1pPF,0.004937651484294358
log1pPF,0.004221516867848887
log1pPF,0.004499257355024485
log1pPF,0.007646093828673039
log1pPF,0.005302594998330427
log1pPF,0.005325196884590634
log1pPF,0.0040873807462553455
log1pPF,0.009164338368398552
log1pPF,0.0028805213414905342
log1pPF,0.003998281138460098
log1pPF,0.006434022110434686
log1pPF,0.011745694193339403
log1pPF,0.013646876848495618
log1pPF,0.003905489480378025
log1pPF,0.00817151814348861
log1pPF,0.004149455275266916
log1pPF,0.007287525381335973
log1pPF,0.038729769735842905
log1pPF,0.004668070772434349
log1pPF,0.004772243156944193
log1pPF,0.010307104404522108
log1pPF,0.005018993955597103
log1pPF,0.0034736111336557776
log1pPF,0.006094709674838157
log1pPF,0.00496496810326927
log1pPF,0.004226059935280586
log1pPF,0.00434018310418884
log1pPF,0.006145903782947709
log1pPF,0.008358681811876994
log1pPF,0.0055181043851322735
log1pPF,0.007373343570155193
log1pPF,0.003383540683738439
log1pPF,0.003858565228867123
log1pPF,0.004327488188884399
log1pPF,0.005430110106131399
log1pPF,0.00657719264704509
log1pPF,0.0063337978145234335
log1pPF,0.008841714018349238
log1pPF,0.0036285381890300487
log1pPF,0.012491703104538888
log1pPF,0.004928459032878844
log1pPF,0.002966006676984531
log1pPF,0.0036373647119029126
log1pPF,0.0029956105238991555
log1pPF,0.005408140236835054
log1pPF,0.005492100387968611
log1pPF,0.005525054835771113
log1pPF,0.005904850998387192
log1pPF,0.004835278197537811
log1pPF,0.007021734738127786
log1pPF,0.014304387863594049
log1pPF,0.017574902640170382
log1pPF,0.0038334871581834837
log1pPF,0.0033972877622127713
log1pPF,0.007045352069602597
log1pPF,0.006461779375993979
log1pPF,0.0049167241321094
log1pPF,0.005692599214384861
log1pPF,0.004353631583263318
log1pPF,0.005388117484930467
log1pPF,0.006000274690979914
log1pPF,0.016392696679038386
log1pPF,0.005760754621701137
log1pPF,0.005576471965834078
log1pPF,0.004701809265159796
log1pPF,0.004724189346327722
log1pPF,0.003075580773196592
log1pPF,0.004954161018606446
log1pPF,0.004511971374144763
log1pPF,0.005314171748419156
log1pPF,0.009350508723232806
log1pPF,0.00607698447697399
log1pPF,0.0062407590446154956
log1pPF,0.007198547844289088
log1pPF,0.0038209559897385685
log1pPF,0.004218902098033514
log1pPF,0.008151418827031116
